Household,Timestamp,Power Usage (kW)
Household 1,2024-08-21 21:57:02.058512,134.96
Household 1,2024-08-21 22:57:02.058512,87.49
Household 1,2024-08-21 23:57:02.058512,129.99
Household 1,2024-08-22 00:57:02.058512,87.19
Household 1,2024-08-22 01:57:02.058512,56.86
Household 1,2024-08-22 02:57:02.058512,80.08
Household 1,2024-08-22 03:57:02.058512,60.25
Household 1,2024-08-22 04:57:02.058512,132.73
Household 1,2024-08-22 05:57:02.058512,102.51
Household 1,2024-08-22 06:57:02.058512,115.03
Household 1,2024-08-22 07:57:02.058512,78.99
Household 1,2024-08-22 08:57:02.058512,67.83
Household 1,2024-08-22 09:57:02.058512,96.15
Household 1,2024-08-22 10:57:02.058512,136.33
Household 1,2024-08-22 11:57:02.058512,52.89
Household 1,2024-08-22 12:57:02.058512,138.3
Household 1,2024-08-22 13:57:02.058512,147.44
Household 1,2024-08-22 14:57:02.058512,105.97
Household 1,2024-08-22 15:57:02.058512,112.99
Household 1,2024-08-22 16:57:02.058512,79.65
Household 1,2024-08-22 17:57:02.058512,101.37
Household 1,2024-08-22 18:57:02.058512,67.51
Household 1,2024-08-22 19:57:02.058512,110.55
Household 1,2024-08-22 20:57:02.058512,83.02
Household 2,2024-08-21 21:57:02.058512,199.67
Household 2,2024-08-21 22:57:02.058512,234.41
Household 2,2024-08-21 23:57:02.058512,150.92
Household 2,2024-08-22 00:57:02.058512,163.53
Household 2,2024-08-22 01:57:02.058512,152.61
Household 2,2024-08-22 02:57:02.058512,170.77
Household 2,2024-08-22 03:57:02.058512,153.54
Household 2,2024-08-22 04:57:02.058512,215.76
Household 2,2024-08-22 05:57:02.058512,239.88
Household 2,2024-08-22 06:57:02.058512,232.09
Household 2,2024-08-22 07:57:02.058512,184.65
Household 2,2024-08-22 08:57:02.058512,247.87
Household 2,2024-08-22 09:57:02.058512,174.14
Household 2,2024-08-22 10:57:02.058512,222.83
Household 2,2024-08-22 11:57:02.058512,248.64
Household 2,2024-08-22 12:57:02.058512,183.92
Household 2,2024-08-22 13:57:02.058512,195.72
Household 2,2024-08-22 14:57:02.058512,213.19
Household 2,2024-08-22 15:57:02.058512,179.44
Household 2,2024-08-22 16:57:02.058512,168.57
Household 2,2024-08-22 17:57:02.058512,191.96
Household 2,2024-08-22 18:57:02.058512,220.86
Household 2,2024-08-22 19:57:02.058512,162.66
Household 2,2024-08-22 20:57:02.058512,223.58
Household 3,2024-08-21 21:57:02.058512,349.12
Household 3,2024-08-21 22:57:02.058512,328.32
Household 3,2024-08-21 23:57:02.058512,291.94
Household 3,2024-08-22 00:57:02.058512,335.66
Household 3,2024-08-22 01:57:02.058512,308.67
Household 3,2024-08-22 02:57:02.058512,291.18
Household 3,2024-08-22 03:57:02.058512,255.77
Household 3,2024-08-22 04:57:02.058512,318.94
Household 3,2024-08-22 05:57:02.058512,298.81
Household 3,2024-08-22 06:57:02.058512,285.27
Household 3,2024-08-22 07:57:02.058512,274.69
Household 3,2024-08-22 08:57:02.058512,250.8
Household 3,2024-08-22 09:57:02.058512,256.28
Household 3,2024-08-22 10:57:02.058512,343.38
Household 3,2024-08-22 11:57:02.058512,317.07
Household 3,2024-08-22 12:57:02.058512,284.92
Household 3,2024-08-22 13:57:02.058512,303.41
Household 3,2024-08-22 14:57:02.058512,296.51
Household 3,2024-08-22 15:57:02.058512,332.19
Household 3,2024-08-22 16:57:02.058512,347.23
Household 3,2024-08-22 17:57:02.058512,251.96
Household 3,2024-08-22 18:57:02.058512,293.21
Household 3,2024-08-22 19:57:02.058512,332.26
Household 3,2024-08-22 20:57:02.058512,321.8
Household 4,2024-08-21 21:57:02.058512,434.49
Household 4,2024-08-21 22:57:02.058512,431.85
Household 4,2024-08-21 23:57:02.058512,422.06
Household 4,2024-08-22 00:57:02.058512,350.27
Household 4,2024-08-22 01:57:02.058512,385.27
Household 4,2024-08-22 02:57:02.058512,360.97
Household 4,2024-08-22 03:57:02.058512,428.22
Household 4,2024-08-22 04:57:02.058512,350.47
Household 4,2024-08-22 05:57:02.058512,412.09
Household 4,2024-08-22 06:57:02.058512,357.93
Household 4,2024-08-22 07:57:02.058512,406.74
Household 4,2024-08-22 08:57:02.058512,417.81
Household 4,2024-08-22 09:57:02.058512,365.14
Household 4,2024-08-22 10:57:02.058512,391.2
Household 4,2024-08-22 11:57:02.058512,421.66
Household 4,2024-08-22 12:57:02.058512,362.57
Household 4,2024-08-22 13:57:02.058512,432.02
Household 4,2024-08-22 14:57:02.058512,420.03
Household 4,2024-08-22 15:57:02.058512,446.35
Household 4,2024-08-22 16:57:02.058512,448.54
Household 4,2024-08-22 17:57:02.058512,442.99
Household 4,2024-08-22 18:57:02.058512,353.18
Household 4,2024-08-22 19:57:02.058512,370.14
Household 4,2024-08-22 20:57:02.058512,434.28
Household 1,2024-08-22 21:57:02.058512,139.27
Household 1,2024-08-22 22:57:02.058512,76.21
Household 1,2024-08-22 23:57:02.058512,138.89
Household 1,2024-08-23 00:57:02.058512,84.4
Household 1,2024-08-23 01:57:02.058512,62.66
Household 1,2024-08-23 02:57:02.058512,148.34
Household 1,2024-08-23 03:57:02.058512,134.08
Household 1,2024-08-23 04:57:02.058512,99.94
Household 1,2024-08-23 05:57:02.058512,98.79
Household 1,2024-08-23 06:57:02.058512,125.68
Household 1,2024-08-23 07:57:02.058512,143.85
Household 1,2024-08-23 08:57:02.058512,104.46
Household 1,2024-08-23 09:57:02.058512,61.24
Household 1,2024-08-23 10:57:02.058512,58.57
Household 1,2024-08-23 11:57:02.058512,67.13
Household 1,2024-08-23 12:57:02.058512,116.52
Household 1,2024-08-23 13:57:02.058512,69.65
Household 1,2024-08-23 14:57:02.058512,137.79
Household 1,2024-08-23 15:57:02.058512,87.66
Household 1,2024-08-23 16:57:02.058512,67.09
Household 1,2024-08-23 17:57:02.058512,112.35
Household 1,2024-08-23 18:57:02.058512,144.71
Household 1,2024-08-23 19:57:02.058512,50.95
Household 1,2024-08-23 20:57:02.058512,127.67
Household 2,2024-08-22 21:57:02.058512,160.04
Household 2,2024-08-22 22:57:02.058512,203.11
Household 2,2024-08-22 23:57:02.058512,193.44
Household 2,2024-08-23 00:57:02.058512,242.21
Household 2,2024-08-23 01:57:02.058512,229.14
Household 2,2024-08-23 02:57:02.058512,180.22
Household 2,2024-08-23 03:57:02.058512,162.67
Household 2,2024-08-23 04:57:02.058512,233.68
Household 2,2024-08-23 05:57:02.058512,152.34
Household 2,2024-08-23 06:57:02.058512,211.01
Household 2,2024-08-23 07:57:02.058512,227.84
Household 2,2024-08-23 08:57:02.058512,151.37
Household 2,2024-08-23 09:57:02.058512,210.29
Household 2,2024-08-23 10:57:02.058512,197.7
Household 2,2024-08-23 11:57:02.058512,166.52
Household 2,2024-08-23 12:57:02.058512,206.28
Household 2,2024-08-23 13:57:02.058512,204.13
Household 2,2024-08-23 14:57:02.058512,183.31
Household 2,2024-08-23 15:57:02.058512,181.43
Household 2,2024-08-23 16:57:02.058512,208.68
Household 2,2024-08-23 17:57:02.058512,159.93
Household 2,2024-08-23 18:57:02.058512,241.73
Household 2,2024-08-23 19:57:02.058512,208.66
Household 2,2024-08-23 20:57:02.058512,166.45
Household 3,2024-08-22 21:57:02.058512,257.91
Household 3,2024-08-22 22:57:02.058512,329.75
Household 3,2024-08-22 23:57:02.058512,255.55
Household 3,2024-08-23 00:57:02.058512,314.46
Household 3,2024-08-23 01:57:02.058512,307.16
Household 3,2024-08-23 02:57:02.058512,264.26
Household 3,2024-08-23 03:57:02.058512,311.3
Household 3,2024-08-23 04:57:02.058512,268.08
Household 3,2024-08-23 05:57:02.058512,268.45
Household 3,2024-08-23 06:57:02.058512,317.38
Household 3,2024-08-23 07:57:02.058512,316.92
Household 3,2024-08-23 08:57:02.058512,264.08
Household 3,2024-08-23 09:57:02.058512,273.0
Household 3,2024-08-23 10:57:02.058512,274.82
Household 3,2024-08-23 11:57:02.058512,277.89
Household 3,2024-08-23 12:57:02.058512,293.83
Household 3,2024-08-23 13:57:02.058512,290.43
Household 3,2024-08-23 14:57:02.058512,329.37
Household 3,2024-08-23 15:57:02.058512,254.14
Household 3,2024-08-23 16:57:02.058512,293.03
Household 3,2024-08-23 17:57:02.058512,269.4
Household 3,2024-08-23 18:57:02.058512,293.14
Household 3,2024-08-23 19:57:02.058512,290.1
Household 3,2024-08-23 20:57:02.058512,345.08
Household 4,2024-08-22 21:57:02.058512,449.26
Household 4,2024-08-22 22:57:02.058512,369.51
Household 4,2024-08-22 23:57:02.058512,440.36
Household 4,2024-08-23 00:57:02.058512,399.23
Household 4,2024-08-23 01:57:02.058512,358.67
Household 4,2024-08-23 02:57:02.058512,405.0
Household 4,2024-08-23 03:57:02.058512,424.47
Household 4,2024-08-23 04:57:02.058512,381.84
Household 4,2024-08-23 05:57:02.058512,398.47
Household 4,2024-08-23 06:57:02.058512,388.97
Household 4,2024-08-23 07:57:02.058512,400.96
Household 4,2024-08-23 08:57:02.058512,438.85
Household 4,2024-08-23 09:57:02.058512,425.78
Household 4,2024-08-23 10:57:02.058512,387.52
Household 4,2024-08-23 11:57:02.058512,350.19
Household 4,2024-08-23 12:57:02.058512,404.09
Household 4,2024-08-23 13:57:02.058512,407.76
Household 4,2024-08-23 14:57:02.058512,409.87
Household 4,2024-08-23 15:57:02.058512,355.77
Household 4,2024-08-23 16:57:02.058512,379.09
Household 4,2024-08-23 17:57:02.058512,375.18
Household 4,2024-08-23 18:57:02.058512,434.0
Household 4,2024-08-23 19:57:02.058512,435.39
Household 4,2024-08-23 20:57:02.058512,362.28
Household 1,2024-08-23 21:57:02.058512,115.86
Household 1,2024-08-23 22:57:02.058512,112.94
Household 1,2024-08-23 23:57:02.058512,69.61
Household 1,2024-08-24 00:57:02.058512,115.57
Household 1,2024-08-24 01:57:02.058512,79.55
Household 1,2024-08-24 02:57:02.058512,89.42
Household 1,2024-08-24 03:57:02.058512,117.22
Household 1,2024-08-24 04:57:02.058512,127.87
Household 1,2024-08-24 05:57:02.058512,114.42
Household 1,2024-08-24 06:57:02.058512,65.02
Household 1,2024-08-24 07:57:02.058512,108.31
Household 1,2024-08-24 08:57:02.058512,113.83
Household 1,2024-08-24 09:57:02.058512,53.41
Household 1,2024-08-24 10:57:02.058512,109.13
Household 1,2024-08-24 11:57:02.058512,65.96
Household 1,2024-08-24 12:57:02.058512,89.87
Household 1,2024-08-24 13:57:02.058512,124.43
Household 1,2024-08-24 14:57:02.058512,100.99
Household 1,2024-08-24 15:57:02.058512,136.26
Household 1,2024-08-24 16:57:02.058512,140.88
Household 1,2024-08-24 17:57:02.058512,102.78
Household 1,2024-08-24 18:57:02.058512,91.62
Household 1,2024-08-24 19:57:02.058512,106.53
Household 1,2024-08-24 20:57:02.058512,80.24
Household 2,2024-08-23 21:57:02.058512,169.8
Household 2,2024-08-23 22:57:02.058512,183.47
Household 2,2024-08-23 23:57:02.058512,232.91
Household 2,2024-08-24 00:57:02.058512,206.23
Household 2,2024-08-24 01:57:02.058512,235.88
Household 2,2024-08-24 02:57:02.058512,230.93
Household 2,2024-08-24 03:57:02.058512,189.49
Household 2,2024-08-24 04:57:02.058512,225.41
Household 2,2024-08-24 05:57:02.058512,154.7
Household 2,2024-08-24 06:57:02.058512,226.71
Household 2,2024-08-24 07:57:02.058512,198.28
Household 2,2024-08-24 08:57:02.058512,216.76
Household 2,2024-08-24 09:57:02.058512,200.25
Household 2,2024-08-24 10:57:02.058512,228.94
Household 2,2024-08-24 11:57:02.058512,198.71
Household 2,2024-08-24 12:57:02.058512,211.83
Household 2,2024-08-24 13:57:02.058512,240.05
Household 2,2024-08-24 14:57:02.058512,175.15
Household 2,2024-08-24 15:57:02.058512,213.43
Household 2,2024-08-24 16:57:02.058512,188.65
Household 2,2024-08-24 17:57:02.058512,198.81
Household 2,2024-08-24 18:57:02.058512,190.27
Household 2,2024-08-24 19:57:02.058512,184.82
Household 2,2024-08-24 20:57:02.058512,240.5
Household 3,2024-08-23 21:57:02.058512,258.21
Household 3,2024-08-23 22:57:02.058512,292.41
Household 3,2024-08-23 23:57:02.058512,264.37
Household 3,2024-08-24 00:57:02.058512,252.15
Household 3,2024-08-24 01:57:02.058512,309.41
Household 3,2024-08-24 02:57:02.058512,339.3
Household 3,2024-08-24 03:57:02.058512,255.12
Household 3,2024-08-24 04:57:02.058512,320.53
Household 3,2024-08-24 05:57:02.058512,337.08
Household 3,2024-08-24 06:57:02.058512,280.29
Household 3,2024-08-24 07:57:02.058512,297.4
Household 3,2024-08-24 08:57:02.058512,253.56
Household 3,2024-08-24 09:57:02.058512,250.1
Household 3,2024-08-24 10:57:02.058512,291.93
Household 3,2024-08-24 11:57:02.058512,275.43
Household 3,2024-08-24 12:57:02.058512,337.38
Household 3,2024-08-24 13:57:02.058512,315.56
Household 3,2024-08-24 14:57:02.058512,341.29
Household 3,2024-08-24 15:57:02.058512,344.01
Household 3,2024-08-24 16:57:02.058512,288.22
Household 3,2024-08-24 17:57:02.058512,265.83
Household 3,2024-08-24 18:57:02.058512,339.41
Household 3,2024-08-24 19:57:02.058512,313.31
Household 3,2024-08-24 20:57:02.058512,332.89
Household 4,2024-08-23 21:57:02.058512,389.57
Household 4,2024-08-23 22:57:02.058512,362.03
Household 4,2024-08-23 23:57:02.058512,403.6
Household 4,2024-08-24 00:57:02.058512,415.67
Household 4,2024-08-24 01:57:02.058512,373.34
Household 4,2024-08-24 02:57:02.058512,356.86
Household 4,2024-08-24 03:57:02.058512,406.14
Household 4,2024-08-24 04:57:02.058512,374.3
Household 4,2024-08-24 05:57:02.058512,353.12
Household 4,2024-08-24 06:57:02.058512,429.01
Household 4,2024-08-24 07:57:02.058512,415.47
Household 4,2024-08-24 08:57:02.058512,393.54
Household 4,2024-08-24 09:57:02.058512,415.22
Household 4,2024-08-24 10:57:02.058512,354.83
Household 4,2024-08-24 11:57:02.058512,357.0
Household 4,2024-08-24 12:57:02.058512,372.96
Household 4,2024-08-24 13:57:02.058512,429.77
Household 4,2024-08-24 14:57:02.058512,403.15
Household 4,2024-08-24 15:57:02.058512,424.14
Household 4,2024-08-24 16:57:02.058512,386.38
Household 4,2024-08-24 17:57:02.058512,385.52
Household 4,2024-08-24 18:57:02.058512,356.7
Household 4,2024-08-24 19:57:02.058512,387.92
Household 4,2024-08-24 20:57:02.058512,404.82
Household 1,2024-08-24 21:57:02.058512,64.68
Household 1,2024-08-24 22:57:02.058512,127.3
Household 1,2024-08-24 23:57:02.058512,103.07
Household 1,2024-08-25 00:57:02.058512,72.63
Household 1,2024-08-25 01:57:02.058512,118.07
Household 1,2024-08-25 02:57:02.058512,96.25
Household 1,2024-08-25 03:57:02.058512,63.26
Household 1,2024-08-25 04:57:02.058512,69.46
Household 1,2024-08-25 05:57:02.058512,74.27
Household 1,2024-08-25 06:57:02.058512,90.84
Household 1,2024-08-25 07:57:02.058512,57.31
Household 1,2024-08-25 08:57:02.058512,131.28
Household 1,2024-08-25 09:57:02.058512,114.4
Household 1,2024-08-25 10:57:02.058512,94.89
Household 1,2024-08-25 11:57:02.058512,109.5
Household 1,2024-08-25 12:57:02.058512,72.36
Household 1,2024-08-25 13:57:02.058512,70.99
Household 1,2024-08-25 14:57:02.058512,86.49
Household 1,2024-08-25 15:57:02.058512,101.17
Household 1,2024-08-25 16:57:02.058512,82.67
Household 1,2024-08-25 17:57:02.058512,65.69
Household 1,2024-08-25 18:57:02.058512,121.59
Household 1,2024-08-25 19:57:02.058512,139.8
Household 1,2024-08-25 20:57:02.058512,74.77
Household 2,2024-08-24 21:57:02.058512,222.58
Household 2,2024-08-24 22:57:02.058512,233.9
Household 2,2024-08-24 23:57:02.058512,153.63
Household 2,2024-08-25 00:57:02.058512,212.61
Household 2,2024-08-25 01:57:02.058512,240.84
Household 2,2024-08-25 02:57:02.058512,151.89
Household 2,2024-08-25 03:57:02.058512,177.47
Household 2,2024-08-25 04:57:02.058512,178.19
Household 2,2024-08-25 05:57:02.058512,216.5
